kode,aar,befolkning
3101,1986,0
3101,1987,0
3101,1988,0
3101,1989,0
3101,1990,0
3101,1991,0
3101,1992,0
3101,1993,0
3101,1994,0
3101,1995,0
3101,1996,0
3101,1997,0
3101,1998,0
3101,1999,0
3101,2000,0
3101,2001,0
3101,2002,0
3101,2003,0
3101,2004,0
3101,2005,0
3101,2006,0
3101,2007,0
3101,2008,0
3101,2009,0
3101,2010,0
3101,2011,0
3101,2012,0
3101,2013,0
3101,2014,0
3101,2015,0
3101,2016,0
3101,2017,0
3101,2018,0
3101,2019,0
3101,2020,0
3101,2021,0
3101,2022,0
3101,2023,0
3101,2024,31935
3101,2025,32038
3101,2026,32082
3103,1986,0
3103,1987,0
3103,1988,0
3103,1989,0
3103,1990,0
3103,1991,0
3103,1992,0
3103,1993,0
3103,1994,0
3103,1995,0
3103,1996,0
3103,1997,0
3103,1998,0
3103,1999,0
3103,2000,0
3103,2001,0
3103,2002,0
3103,2003,0
3103,2004,0
3103,2005,0
3103,2006,0
3103,2007,0
3103,2008,0
3103,2009,0
3103,2010,0
3103,2011,0
3103,2012,0
3103,2013,0
3103,2014,0
3103,2015,0
3103,2016,0
3103,2017,0
3103,2018,0
3103,2019,0
3103,2020,0
3103,2021,0
3103,2022,0
3103,2023,0
3103,2024,52051
3103,2025,52646
3103,2026,53207
3105,1986,0
3105,1987,0
3105,1988,0
3105,1989,0
3105,1990,0
3105,1991,0
3105,1992,0
3105,1993,0
3105,1994,0
3105,1995,0
3105,1996,0
3105,1997,0
3105,1998,0
3105,1999,0
3105,2000,0
3105,2001,0
3105,2002,0
3105,2003,0
3105,2004,0
3105,2005,0
3105,2006,0
3105,2007,0
3105,2008,0
3105,2009,0
3105,2010,0
3105,2011,0
3105,2012,0
3105,2013,0
3105,2014,0
3105,2015,0
3105,2016,0
3105,2017,0
3105,2018,0
3105,2019,0
3105,2020,0
3105,2021,0
3105,2022,0
3105,2023,0
3105,2024,59771
3105,2025,60139
3105,2026,60614
3107,1986,0
3107,1987,0
3107,1988,0
3107,1989,0
3107,1990,0
3107,1991,0
3107,1992,0
3107,1993,0
3107,1994,0
3107,1995,0
3107,1996,0
3107,1997,0
3107,1998,0
3107,1999,0
3107,2000,0
3107,2001,0
3107,2002,0
3107,2003,0
3107,2004,0
3107,2005,0
3107,2006,0
3107,2007,0
3107,2008,0
3107,2009,0
3107,2010,0
3107,2011,0
3107,2012,0
3107,2013,0
3107,2014,0
3107,2015,0
3107,2016,0
3107,2017,0
3107,2018,0
3107,2019,0
3107,2020,0
3107,2021,0
3107,2022,0
3107,2023,0
3107,2024,85230
3107,2025,85862
3107,2026,86243
3110,1986,0
3110,1987,0
3110,1988,0
3110,1989,0
3110,1990,0
3110,1991,0
3110,1992,0
3110,1993,0
3110,1994,0
3110,1995,0
3110,1996,0
3110,1997,0
3110,1998,0
3110,1999,0
3110,2000,0
3110,2001,0
3110,2002,0
3110,2003,0
3110,2004,0
3110,2005,0
3110,2006,0
3110,2007,0
3110,2008,0
3110,2009,0
3110,2010,0
3110,2011,0
3110,2012,0
3110,2013,0
3110,2014,0
3110,2015,0
3110,2016,0
3110,2017,0
3110,2018,0
3110,2019,0
3110,2020,0
3110,2021,0
3110,2022,0
3110,2023,0
3110,2024,4787
3110,2025,4777
3110,2026,4714
3112,1986,0
3112,1987,0
3112,1988,0
3112,1989,0
3112,1990,0
3112,1991,0
3112,1992,0
3112,1993,0
3112,1994,0
3112,1995,0
3112,1996,0
3112,1997,0
3112,1998,0
3112,1999,0
3112,2000,0
3112,2001,0
3112,2002,0
3112,2003,0
3112,2004,0
